station,latitude,longitude,start,tripdurationS,end,tripdurationE,month
Union St,40.7182113,-74.0836394,53,836,63,685,Jan
Newport Pkwy,40.7287448,-74.0321082,657,463,659,461,Feb
Manila & 1st,40.72165072,-74.04288411,517,247,565,266,Feb
City Hall,40.7177325,-74.043845,683,383,708,388,Feb
Liberty Light Rail,40.7112423,-74.0557013,461,583,485,622,Feb
Newport PATH,40.7272235,-74.0337589,978,373.5,964,346,Feb
Dey St,40.737711,-74.066921,114,330.5,132,255.5,Feb
Warren St,40.7211236,-74.03805095,487,289,556,308.5,Feb
Hamilton Park,40.72759597,-74.04424731,1202,303,1051,309,Feb
Van Vorst Park,40.71848892,-74.04772663,432,283,398,319,Feb
Washington St,40.7242941,-74.0354826,489,329,499,347,Feb
Harborside,40.7192517,-74.034234,1058,298,1087,323,Feb
Baldwin at Montgomery,40.7236589,-74.0641943,257,494,220,511,Feb
Columbus Drive,40.7183552,-74.03891444,500,285,522,305,Feb
Jersey & 6th St,40.72528911,-74.04557168,516,221,391,254,Feb
Grand St,40.71517768,-74.03768331,315,289,354,327.5,Feb
Newark Ave,40.72152515,-74.04630454,631,263,648,266,Feb
Marin Light Rail,40.71458404,-74.04281706,746,286,716,322,Feb
Oakland Ave,40.7376037,-74.0524783,224,360.5,156,384,Feb
Monmouth and 6th,40.72568548,-74.04879034,521,294,441,284,Feb
Fairmount Ave,40.72572614,-74.07195926,244,381,201,380,Feb
McGinley Square,40.72533993,-74.06762213,531,255,389,251,Feb
Lincoln Park,40.7246051,-74.07840595,134,544,150,525.5,Feb
Brunswick St,40.7241765,-74.0506564,508,282.5,459,304,Feb
Lafayette Park,40.71346383,-74.06285852,194,592,209,640,Feb
Brunswick & 6th,40.72601173,-74.05038893,654,318,494,324,Feb
Sip Ave,40.7308971,-74.06391263,1402,393,1342,361,Feb
York St,40.71649,-74.04105,204,266,223,321,Feb
JC Medical Center,40.71653978,-74.04963791,317,330,326,368.5,Feb
Riverview Park,40.7443187,-74.0439909,99,758,74,657,Feb
Christ Hospital,40.73478582,-74.05044364,153,436,109,478,Feb
Pershing Field,40.74267714,-74.05178863,209,492,181,514,Feb
Union St,40.7182113,-74.0836394,59,758,83,699,Feb
Astor Place,40.7192822,-74.07126188,279,431,285,414,Feb
Jersey & 3rd,40.72333159,-74.04595256,526,202,528,219.5,Feb
Dixon Mills,40.72163014,-74.04996783,464,204.5,404,220,Feb
Bergen Ave,40.72210379,-74.071455,274,381.5,240,366,Feb
Essex Light Rail,40.7127742,-74.0364857,300,325,322,366.5,Feb
Grove St PATH,40.71958612,-74.04311746,2328,276.5,3109,261,Feb
Leonard Gordon Park,40.74590997,-74.05727148,77,503,71,547,Feb
Montgomery St,40.71942,-74.05099,227,369,224,378,Feb
Morris Canal,40.71241882,-74.03852552,494,299,479,322,Feb
Hoboken Ave at Monmouth St,40.73520838,-74.04696375,146,497.5,171,472,Feb
Hilltop,40.7311689,-74.0575736,142,479,105,514,Feb
Paulus Hook,40.7141454,-74.0335519,440,370.5,442,358.5,Feb
Journal Square,40.73367,-74.0625,370,378,362,362.5,Feb
Columbus Dr at Exchange Pl,40.71687,-74.03281,922,300,1003,300,Feb
Jackson Square,40.71113,-74.0789,100,843,76,711,Feb
5 Corners Library,40.73496102,-74.05950308,109,407,94,666.5,Feb
Heights Elevator,40.74871595,-74.0404433,99,806,80,1002.5,Feb
Communipaw & Berry Lane,40.71435837,-74.06661093,49,671,57,550,Feb
Glenwood Ave,40.72755147,-74.07106072,120,432.5,112,313,Feb
Newport PATH,40.7272235,-74.0337589,699,430,674,445,Mar
City Hall,40.7177325,-74.043845,510,409,566,424,Mar
Jersey & 3rd,40.72333159,-74.04595256,452,234.5,456,263,Mar
McGinley Square,40.72533993,-74.06762213,365,253,310,287,Mar
Baldwin at Montgomery,40.7236589,-74.0641943,225,521,216,553.5,Mar
Essex Light Rail,40.7127742,-74.0364857,227,468,235,414,Mar
Manila & 1st,40.72165072,-74.04288411,363,264,377,269,Mar
Columbus Drive,40.7183552,-74.03891444,395,357,410,352.5,Mar
Fairmount Ave,40.72572614,-74.07195926,198,513,155,451,Mar
Brunswick St,40.7241765,-74.0506564,321,328,287,319,Mar
Morris Canal,40.71241882,-74.03852552,436,544,446,540,Mar
Marin Light Rail,40.71458404,-74.04281706,740,474,694,542,Mar
Columbus Dr at Exchange Pl,40.71687,-74.03281,633,358,673,387,Mar
Newark Ave,40.72152515,-74.04630454,469,312,516,324,Mar
Hamilton Park,40.72759597,-74.04424731,910,357.5,871,368,Mar
Brunswick & 6th,40.72601173,-74.05038893,412,317,340,342,Mar
Astor Place,40.7192822,-74.07126188,196,435.5,210,426,Mar
JC Medical Center,40.71653978,-74.04963791,381,683,382,717,Mar
Harborside,40.7192517,-74.034234,858,400,836,382,Mar
Sip Ave,40.7308971,-74.06391263,888,391,801,349,Mar
Washington St,40.7242941,-74.0354826,382,433.5,381,513,Mar
Riverview Park,40.7443187,-74.0439909,95,871,89,944,Mar
Monmouth and 6th,40.72568548,-74.04879034,294,307.5,271,283,Mar
Glenwood Ave,40.72755147,-74.07106072,120,891.5,94,843.5,Mar
Van Vorst Park,40.71848892,-74.04772663,372,389,370,505,Mar
Grand St,40.71517768,-74.03768331,239,366,240,417.5,Mar
Newport Pkwy,40.7287448,-74.0321082,641,693,693,711,Mar
Warren St,40.7211236,-74.03805095,434,368.5,426,391,Mar
5 Corners Library,40.73496102,-74.05950308,84,559.5,77,756,Mar
Liberty Light Rail,40.7112423,-74.0557013,676,1004.5,685,1480,Mar
Grove St PATH,40.71958612,-74.04311746,1335,286,1643,271,Mar
Montgomery St,40.71942,-74.05099,256,522,268,489,Mar
Oakland Ave,40.7376037,-74.0524783,133,378,105,487,Mar
Dixon Mills,40.72163014,-74.04996783,324,227.5,302,267,Mar
Hilltop,40.7311689,-74.0575736,172,599.5,126,670,Mar
Lafayette Park,40.71346383,-74.06285852,141,610,142,650.5,Mar
Christ Hospital,40.73478582,-74.05044364,101,496,85,632,Mar
Pershing Field,40.74267714,-74.05178863,185,628,181,656,Mar
Jackson Square,40.71113,-74.0789,64,976,63,774,Mar
Lincoln Park,40.7246051,-74.07840595,172,998,215,924,Mar
Dey St,40.737711,-74.066921,75,635,76,394.5,Mar
Hoboken Ave at Monmouth St,40.73520838,-74.04696375,138,620.5,155,530,Mar
Paulus Hook,40.7141454,-74.0335519,401,513,412,501,Mar
Journal Square,40.73367,-74.0625,232,439,203,397,Mar
Communipaw & Berry Lane,40.71435837,-74.06661093,64,795.5,66,687,Mar
Jersey & 6th St,40.72528911,-74.04557168,308,242,280,269.5,Mar
Heights Elevator,40.74871595,-74.0404433,98,1008,89,1269,Mar
Union St,40.7182113,-74.0836394,85,777,89,682,Mar
Bergen Ave,40.72210379,-74.071455,209,366,212,363,Mar
